,1em5,1.5em5,2em5,2.5em5,3em5,3.5em5,4em5,4.5em5,5em5
0,47,148,368,696,1093,1737,2738,3845,5258
1,31,120,352,636,1154,1831,2687,3824,5228
2,25,130,315,661,1130,1713,2709,3729,5283
3,48,171,358,640,1096,1881,2719,3607,5211
4,39,137,350,666,1162,1923,2657,3857,5283
5,30,143,347,647,1118,1770,2708,3932,5237
6,48,129,355,641,1146,1730,2710,3924,5183
7,51,131,345,608,1054,1808,2754,3866,5129
8,42,145,310,697,1136,1823,2673,3837,5045
9,42,120,342,655,1086,1777,2706,3761,5127
10,42,115,379,680,1143,1768,2791,3922,5207
11,63,130,322,681,1151,1795,2701,3856,5315
12,42,152,312,665,1074,1815,2736,3883,5256
13,40,161,317,681,1136,1795,2579,3873,5250
14,42,142,355,647,1136,1739,2675,3738,5288
15,34,116,333,665,1099,1774,2668,3814,5277
16,44,131,336,630,1148,1789,2690,3811,5208
17,46,134,359,644,1171,1777,2642,3788,5261
18,43,136,306,620,1088,1813,2649,3801,5230
19,48,156,364,630,1169,1714,2651,3929,5156
20,46,145,318,650,1176,1785,2657,3830,5270
21,42,157,315,616,1132,1768,2733,3844,5171
22,52,150,339,637,1112,1809,2729,3877,5228
23,32,161,314,656,1065,1764,2679,3804,5232
24,40,151,305,613,1160,1785,2708,3786,5124
25,42,132,336,628,1116,1747,2704,3691,5412
26,43,140,321,621,1105,1910,2718,3835,5123
27,44,138,303,647,1138,1843,2707,3848,5157
28,48,140,363,624,1187,1873,2724,3797,5271
29,48,115,356,705,1073,1821,2558,3758,5322
30,27,143,344,680,1134,1703,2798,3796,5182
31,38,140,330,678,1196,1750,2723,3792,5245
32,48,146,330,667,1164,1816,2672,3817,5269
33,42,165,349,649,1172,1809,2708,3867,5217
34,51,136,301,632,1063,1812,2630,3715,5209
35,35,156,333,672,1068,1784,2692,3903,5267
36,47,127,310,691,1119,1760,2651,3821,5251
37,48,144,337,688,1092,1796,2682,3798,5140
38,43,127,334,672,1111,1828,2694,3825,5182
39,40,148,343,639,1133,1825,2760,3762,5348
40,36,135,322,623,1175,1740,2721,3831,5193
41,50,161,344,638,1134,1822,2615,3800,5163
42,39,140,326,626,1150,1841,2709,3894,5162
43,35,132,331,614,1083,1760,2654,3732,5314
44,47,150,356,666,1052,1785,2728,3907,5216
45,26,146,315,654,1059,1780,2677,3740,5369
46,24,144,335,641,1130,1800,2631,3779,5326
47,51,154,321,619,1145,1799,2791,3864,5188
48,37,147,353,706,1141,1835,2721,3798,5315
49,56,165,358,597,1110,1803,2707,3899,5218
50,41,147,330,643,1103,1819,2572,3661,5129
51,36,144,339,701,1091,1739,2736,3782,5216
52,49,158,336,684,1092,1838,2708,3854,5239
53,41,157,317,663,1142,1799,2702,3777,5183
54,29,150,320,665,1160,1735,2685,3800,5259
55,39,130,310,705,1071,1842,2708,3857,5279
56,37,144,329,700,1131,1834,2663,3888,5191
57,31,119,346,664,1151,1783,2719,3796,5293
58,47,151,349,655,1080,1755,2720,3902,5380
59,27,155,345,649,1149,1815,2638,3892,5238
60,46,130,315,671,1198,1812,2641,3848,5329
61,42,145,334,699,1184,1721,2712,3835,5220
62,41,122,332,682,1097,1798,2636,3792,5279
63,41,129,364,664,1096,1817,2694,3901,5166
64,25,142,277,618,1044,1807,2564,3794,5273
65,45,136,308,607,1172,1873,2713,3721,5268
66,35,123,335,644,1079,1795,2670,3913,5284
67,36,116,345,613,1122,1765,2704,3843,5233
68,36,153,326,620,1126,1814,2593,3770,5136
69,53,120,326,681,1161,1756,2666,3835,5257
70,43,146,356,619,1151,1766,2627,3830,5160
71,45,150,315,622,1105,1795,2641,3845,5274
72,37,141,317,669,1171,1859,2701,3876,5203
73,34,172,317,607,1086,1825,2623,3790,5324
74,41,154,324,680,1185,1774,2580,3858,5100
75,44,151,355,622,1126,1833,2737,3813,5199
76,45,148,335,649,1204,1759,2649,3779,5207
77,46,146,315,635,1141,1847,2761,3818,5216
78,38,168,355,693,1158,1852,2584,3822,5288
79,46,139,295,621,1119,1796,2642,3839,5319
80,53,131,305,657,1147,1786,2659,3861,5208
81,46,132,324,676,1145,1828,2676,3863,5188
82,52,154,304,658,1148,1805,2590,3784,5137
83,35,127,361,649,1123,1753,2691,3797,5355
84,35,135,356,625,1076,1869,2610,3868,5217
85,49,146,339,623,1102,1754,2674,3825,5156
86,45,170,331,697,1181,1771,2717,3873,5177
87,40,135,316,668,1112,1789,2734,3804,5161
88,38,134,327,637,1207,1753,2656,3901,5327
89,56,143,337,684,1168,1758,2731,3874,5312
90,38,161,332,624,1226,1711,2647,3881,5210
91,37,128,316,653,1134,1818,2656,3846,5320
92,36,126,330,632,1085,1856,2674,3785,5231
93,39,141,347,686,1111,1736,2655,3853,5326
94,39,146,356,650,1116,1778,2715,3822,5369
95,39,137,342,648,1103,1797,2663,3889,5205
96,36,167,279,670,1105,1765,2715,3767,5417
97,40,139,341,711,1194,1792,2691,3789,5260
98,37,166,323,664,1130,1767,2627,3789,5234
99,45,134,362,677,1162,1703,2687,3881,5117
100,41,131,341,662,1092,1731,2670,3845,5360
101,35,138,341,666,1116,1751,2652,3826,5162
102,32,131,334,660,1162,1838,2698,3838,5182
103,46,132,337,672,1120,1778,2756,3908,5236
104,34,140,318,662,1099,1759,2669,3725,5131
105,37,128,336,623,1139,1772,2756,3786,5392
106,44,153,342,686,1119,1806,2618,3780,5176
107,40,151,347,643,1068,1852,2723,3776,5314
108,52,132,369,686,1076,1778,2640,3779,5292
109,58,127,359,673,1110,1740,2690,3942,5250
110,55,139,360,660,1123,1809,2689,3843,5095
111,40,150,347,651,1072,1804,2566,3917,5221
112,48,137,297,625,1199,1758,2674,3774,5341
113,40,149,329,606,1141,1809,2626,3733,5436
114,40,155,361,658,1126,1860,2673,3767,5368
115,32,139,328,666,1161,1815,2673,3765,5226
116,35,126,333,719,1111,1798,2658,3896,5283
117,39,152,305,650,1170,1864,2668,3910,5315
118,36,140,360,653,1071,1847,2626,3842,5377
119,47,128,367,646,1111,1803,2619,3854,5282
120,45,131,334,637,1174,1793,2692,3929,5214
121,39,154,340,580,1070,1783,2723,3776,5307
122,38,132,347,638,1147,1714,2691,3832,5193
123,33,138,347,662,1201,1785,2757,3837,5161
124,43,135,352,648,1117,1845,2684,3751,5174
125,45,141,325,609,1098,1787,2693,3917,5202
126,32,162,323,648,1072,1788,2666,3825,5306
127,53,147,347,634,1162,1702,2614,3808,5208
128,37,140,308,695,1133,1738,2670,3917,5339
129,43,131,305,629,1131,1698,2669,3769,5311
130,48,163,339,690,1110,1750,2642,3841,5243
131,40,138,341,667,1178,1677,2694,3811,5170
132,42,147,324,684,1108,1787,2690,3854,5130
133,43,125,344,678,1097,1710,2707,3860,5175
134,50,153,354,590,1060,1812,2714,3721,5253
135,45,140,338,663,1110,1797,2631,3865,5185
136,36,154,343,652,1085,1846,2618,3762,5226
137,51,136,343,649,1181,1783,2690,3874,5121
138,45,135,315,680,1074,1813,2721,3812,5236
139,40,143,349,641,1121,1764,2664,3744,5189
140,52,141,373,654,1148,1804,2605,3683,5273
141,39,144,352,663,1063,1757,2748,3894,5186
142,38,140,348,673,1144,1767,2751,3705,5173
143,35,127,310,699,1123,1820,2737,3948,5282
144,44,123,334,666,1049,1822,2628,3877,5229
145,42,127,369,709,1096,1806,2728,3765,5285
146,38,137,325,659,1146,1797,2652,3841,5381
147,44,146,357,648,1139,1799,2626,3712,5227
148,53,157,309,664,1165,1747,2619,3809,5227
149,44,127,334,654,1174,1809,2664,3868,5396
150,38,153,309,644,1212,1771,2680,3856,5212
151,29,118,351,679,1134,1708,2650,3732,5135
152,54,147,325,641,1092,1781,2664,3834,5266
153,36,145,325,639,1165,1833,2672,3865,5187
154,32,149,396,670,1163,1873,2716,3851,5201
155,38,136,348,668,1102,1757,2607,3822,5350
156,54,138,309,663,1059,1843,2725,3771,5383
157,51,153,331,671,1113,1860,2678,3936,5235
158,38,146,350,634,1097,1818,2670,3887,5192
159,54,132,332,665,1122,1761,2708,3841,5221
160,43,133,351,677,1151,1821,2660,3865,5285
161,43,137,310,657,1099,1723,2605,3794,5244
162,47,149,338,657,1150,1724,2673,3837,5142
163,41,130,363,647,1117,1798,2614,3830,5223
164,41,127,327,664,1163,1833,2679,3931,5158
165,60,131,304,655,1044,1821,2677,3853,5177
166,33,142,356,627,1195,1748,2670,3888,5367
167,58,133,349,684,1157,1726,2649,3833,5335
168,40,155,345,672,1164,1738,2725,3895,5218
169,32,140,362,661,1140,1754,2729,3758,5166
170,47,158,336,694,1137,1722,2672,3790,5274
171,51,137,380,671,1110,1852,2575,3829,5211
172,43,127,290,705,1065,1778,2706,3743,5124
173,38,134,315,647,1140,1763,2689,3918,5231
174,42,142,337,652,1154,1798,2652,3814,5295
175,40,125,349,685,1097,1792,2675,3824,5300
176,38,149,359,664,1083,1756,2716,3822,5303
177,39,129,324,654,1076,1853,2716,3837,5155
178,29,142,349,710,1044,1766,2694,3873,5190
179,48,143,312,656,1092,1858,2640,3845,5256
180,42,134,307,633,1105,1818,2709,3847,5376
181,36,152,311,620,1100,1830,2628,3917,5200
182,42,148,346,658,1142,1797,2721,3729,5275
183,41,165,331,700,1194,1807,2766,3904,5298
184,37,131,373,618,1153,1818,2587,3787,5277
185,42,135,365,628,1073,1778,2773,3861,5242
186,50,118,373,691,1135,1793,2728,3849,5316
187,43,153,368,665,1169,1725,2712,3850,5291
188,45,139,335,628,1172,1712,2726,3715,5173
189,44,151,316,648,1174,1807,2678,3801,5243
190,40,138,326,671,1174,1796,2636,3801,5215
191,52,129,319,691,1100,1802,2679,3810,5151
192,44,138,348,630,1058,1798,2676,3792,5354
193,37,141,350,657,1092,1794,2678,3790,5302
194,46,133,332,690,1115,1787,2696,3787,5199
195,40,162,306,693,1099,1764,2661,3773,5238
196,43,158,326,691,1132,1875,2638,3866,5239
197,45,130,321,620,1092,1787,2732,3842,5315
198,48,137,328,676,1155,1856,2700,3932,5204
199,47,164,338,673,1186,1798,2661,3898,5314
200,33,131,359,684,1119,1755,2670,3823,5219
201,37,149,334,649,1146,1866,2615,3813,5204
202,40,149,338,624,1163,1808,2657,3838,5287
203,38,126,322,650,1120,1754,2773,3691,5232
204,37,157,340,656,1098,1785,2711,3732,5287
205,41,127,336,601,1173,1749,2735,3881,5251
206,38,131,347,673,1139,1814,2711,3844,5299
